OBJECTID,Tract,ZIP,Population,CIscore4,CIscoreP4,Pollution,Pollution Score,Pollution Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Characteristics,Pop. Characteristics Score,Pop. Characteristics Pctl,Child_10,Pop_10_64,Elderly_65,Hispanic,White,African_American,Native_American,Asian_American,Pacific_Islander,Other_Multiple,County,City,AB1500,CES3_DAC,CES4_DAC,CES_Any_DAC,CES_AnyAnd_AB1550,tracttxt,HTCTop2,HTCTop,HTCTop2_and_CES_DAC,Shape__Area,Shape__Length,x,y
350,6059011601,92832,8430,58.3342528,94.65456379,66.02564908,8.061718638,96.57747355,36.6,86.95267021,24.9,92.2046285,56.3,88.42964824,12.4,93.0895367,21.1,67.26235741,69.75593216,7.23595742,79.71507816,17.3072,74.484,8.2088,75.7177,11.6963,5.3262,0.3203,5.9193,0.2491,0.7711,Orange ,Fullerton,Yes,Yes,Yes,Yes,Yes,6059011601,Yes,Yes,Yes,1164043.2999801636,4473.881317765363,,
351,6059011602,92831,5314,50.19924703,88.07362582,75.82507802,9.258226966,99.68886123,39.4,89.52164009,11.3,66.59899851,49.1,80.77889447,5.6,52.5247267,17.6,52.09125475,52.27024356,5.42212318,53.80736258,12.006,74.012,13.9819,79.7892,12.7776,1.7689,0,4.6481,0,1.0162,Orange ,Fullerton,Yes,Yes,Yes,Yes,Yes,6059011602,No,No,No,5676727.940940857,11226.571016751655,,
353,6059086602,92801,6447,40.09818091,75.10085729,54.18795481,6.616338519,80.65961419,30.5,80.76436345,11.3,66.59899851,39.9,69.08291457,4.5,37.71473191,24.6,79.06210393,58.42410896,6.060479039,63.09884014,15.2474,76.6558,8.0968,66.9148,17.4345,2.1095,0,11.2766,0,2.2646,Orange ,Anaheim,Yes,Yes,Yes,Yes,Yes,6059086602,Yes,No,Yes,1144033.5828475952,4874.110500517352,,
354,6059001103,90631,4594,42.26464242,78.4165406,58.69707076,7.16690068,89.04791537,12.6,49.77220957,14.6,76.32967925,24,42.61306533,8.1,76.05413847,32.3,93.58681876,56.85006389,5.897199404,60.7286939,14.889,72.2899,12.8211,58.2281,25.9469,3.8746,0.283,11.1885,0,0.4789,Orange ,La Habra,Yes,No,Yes,Yes,Yes,6059001103,Yes,No,Yes,1343962.8108901978,5743.268098511966,,
357,6059110402,90620,5588,43.12353276,79.67725668,55.92454056,6.828375294,84.23148724,25.1,73.42444951,14,74.44850453,39.6,68.63065327,6.4,61.53045289,21.5,68.93536122,60.88104433,6.315343094,66.78013111,14.1732,72.2799,13.5469,54.9213,14.3701,4.4739,0,24.2842,0.0537,1.8969,Orange ,Buena Park,Yes,No,Yes,Yes,Yes,6059110402,Yes,No,Yes,1967185.3025665283,6486.5847558197565,,
358,6059088602,92843,4488,39.81426939,74.69742814,51.07623635,6.236398313,72.99315495,21,66.46418628,21.4,88.34754365,30.8,55.11306533,4.3,35.02082249,13.9,32.71229404,61.54461359,6.384176794,68.05345436,12.6337,74.5098,12.8565,36.9207,20.1426,0.9358,0.8913,39.7504,0,1.3592,Orange ,Garden Grove,Yes,No,Yes,Yes,Yes,6059088602,No,No,No,1303977.8195648193,5410.628066700923,,
389,6059099402,92647,8190,38.92332279,73.33585477,61.65549432,7.52812361,92.91848164,29.3,79.4229309,7.5,51.10299093,53.5,85.55276382,1.4,2.732951588,38.7,98.12420786,49.84347472,5.170388374,50.0630358,19.5238,72.1612,8.315,66.1416,20.3541,0.4151,3.9927,7.4847,0.2198,1.3919,Orange ,Huntington Beach,Yes,Yes,No,Yes,Yes,6059099402,Yes,No,Yes,2594833.104362488,6489.683959029491,,
391,6059086601,92801,9185,51.65006736,89.61169945,61.92708673,7.561284989,93.15494711,38.1,88.39534295,20,86.56110434,45.5,76.8718593,7.2,69.13066111,28.4,87.69328264,65.85070504,6.830858437,74.24357035,15.5906,78.1818,6.2275,81.6766,7.2074,3.2118,0,6.8481,0.2613,0.7948,Orange ,Anaheim,Yes,Yes,Yes,Yes,Yes,6059086601,Yes,Yes,Yes,1298889.5536651611,4887.3609702142,,
431,6059087200,92801,7725,40.50028336,75.8698941,61.89606727,7.557497519,93.1051649,26.8,76.04403948,14.2,75.19285424,33.1,58.79396985,4.5,37.71473191,27,84.86692015,51.66128359,5.358954238,52.95007564,12.2201,76.3107,11.4693,61.1521,24.712,3.2621,0,9.2168,0.7508,0.9061,Orange ,Anaheim,Yes,No,Yes,Yes,Yes,6059087200,No,No,No,2149576.8550186157,6388.408074447267,,
432,6059086501,92805,4254,48.76531311,86.45990923,67.04459002,8.186131124,97.01306783,36.4,86.72487978,9.2,58.57355528,50.4,82.36180905,3.3,21.1087975,27,84.86692015,57.42717654,5.957064744,61.54815935,15.2562,76.9158,7.8279,79.5487,17.5835,0.4937,0,1.5515,0,0.8228,Orange ,Anaheim,Yes,Yes,Yes,Yes,Yes,6059086501,No,No,No,1420335.243774414,5544.7430070428845,,
